login_hour,new_device,new_location,failed_logins,files_downloaded,commands_executed,session_duration,weekend_login,risk
1,1,0,7,3183,56,298,0,High
3,0,1,5,2772,32,221,0,High
20,0,0,8,941,1,272,0,Low
8,1,0,7,1533,37,28,0,High
16,0,1,0,2492,24,30,1,Medium
16,1,0,0,3333,4,107,1,Medium
12,1,0,3,1745,25,229,1,High
7,1,0,2,2278,39,129,1,High
19,0,1,1,4328,26,215,0,Medium
6,1,0,5,681,48,236,1,High
15,0,0,6,3132,26,212,0,Medium
16,1,1,3,2848,19,73,1,High
22,0,0,4,1742,36,76,1,High
2,0,1,5,4728,31,244,0,High
0,1,1,6,1469,57,223,0,High
23,0,0,8,4242,56,176,0,Medium
21,1,0,4,312,17,226,1,Medium
8,1,0,7,1729,56,106,1,High
20,1,0,1,526,3,277,1,Medium
10,0,1,5,4299,57,122,1,High
11,1,0,6,4308,0,90,0,Medium
14,1,0,5,3587,20,36,0,Medium
14,1,1,0,2458,52,9,0,High
2,0,1,0,500,46,222,1,Medium
7,1,1,8,4715,12,159,1,High
16,1,1,1,1505,56,39,0,High
1,1,0,4,965,12,72,0,Medium
14,0,0,6,1008,42,83,1,High
6,0,1,6,3587,11,74,1,High
7,0,0,0,3080,22,144,1,Medium
9,1,1,5,3927,11,74,1,High
11,1,0,8,4773,1,86,0,Medium
15,1,1,3,249,56,64,0,High
17,1,1,0,1261,2,141,1,High
10,0,0,1,2272,22,76,1,Medium
12,0,1,6,3332,35,190,1,High
19,1,0,7,4314,8,194,1,High
5,1,1,0,3568,4,201,1,High
4,0,1,3,3806,12,105,0,High
7,0,0,3,3643,28,248,1,Medium
11,1,1,5,1891,5,287,0,High
5,0,0,4,2222,28,99,1,Medium
7,1,1,3,367,21,286,1,High
18,0,0,0,2174,33,273,0,Medium
16,1,0,6,4771,13,232,0,High
11,1,0,0,4866,52,181,0,High
17,0,1,8,1171,48,59,1,High
4,0,0,6,2912,33,68,0,High
4,1,1,7,4654,39,174,1,High
22,1,0,6,2966,16,258,1,High
11,1,1,8,2849,11,300,0,High
4,1,1,0,573,43,293,1,High
1,0,1,4,191,5,168,1,Medium
8,0,0,0,2623,59,136,1,Medium
14,0,1,4,3345,24,51,1,High
3,1,0,2,688,7,151,0,Low
22,0,1,7,4397,35,108,1,High
3,0,1,8,2785,33,146,1,High
2,1,1,1,4246,56,267,1,High
10,1,0,5,1083,44,20,1,High
3,1,0,8,1653,24,143,0,High
5,0,0,2,4005,29,288,1,Medium
16,1,0,3,2209,21,102,0,Medium
6,1,1,4,2678,55,281,1,High
13,0,1,8,3024,1,152,1,High
14,0,0,5,992,54,98,0,Medium
6,0,0,8,2089,46,131,0,Medium
0,0,0,7,4762,2,184,1,High
2,1,1,4,1648,39,165,0,High
11,0,0,4,3703,19,108,0,Medium
13,0,0,2,5000,20,257,1,Medium
15,1,1,1,2364,0,232,1,High
14,0,1,3,4094,34,76,0,High
9,1,0,8,1289,56,28,0,High
6,0,0,4,4894,42,297,1,High
13,0,0,2,1819,49,125,1,Medium
9,1,0,8,1280,1,199,0,High
2,0,1,7,2272,34,173,0,High
4,0,0,0,3880,38,185,1,High
21,1,0,7,4804,2,171,1,High
1,0,1,5,2689,27,158,1,High
15,0,0,2,1599,8,126,1,Medium
5,1,0,1,714,49,62,1,Medium
14,0,0,6,3146,17,23,0,Medium
5,1,1,6,3311,34,51,1,High
2,0,1,5,4749,10,90,1,High
10,1,1,1,275,37,63,1,Medium
