login_hour,new_device,new_location,failed_logins,files_downloaded,commands_executed,session_duration,weekend_login,risk
8,1,0,0,2232,6,30,1,Medium
12,0,0,3,4497,28,262,0,Medium
6,1,1,8,100,58,112,1,High
7,1,0,8,4920,52,193,1,High
15,1,0,2,3518,2,29,0,Medium
7,0,1,6,334,10,177,1,Medium
8,1,1,4,3966,40,46,1,High
9,1,1,2,3859,18,95,1,High
21,1,0,3,839,10,25,1,Medium
6,0,1,7,3760,7,46,0,Medium
10,0,1,2,4363,19,83,0,Medium
17,0,1,3,1474,41,99,0,High
11,0,0,3,3142,56,66,0,Medium
6,0,0,8,2991,35,88,0,Medium
17,1,1,8,4177,53,47,1,High
5,0,0,8,1534,12,293,1,Medium
14,1,1,7,1196,22,110,0,High
1,1,1,4,591,44,109,0,High
0,0,1,6,2930,35,208,1,High
0,0,1,0,2520,57,160,1,High
18,0,0,7,174,39,277,1,Medium
13,1,0,8,3155,15,67,1,High
2,1,0,0,16,5,155,0,Low
9,1,1,3,2914,35,232,1,High
19,1,1,7,4078,54,239,0,High
14,0,1,8,3293,60,109,0,High
6,0,1,1,416,43,104,0,Medium
8,0,1,4,4398,53,221,0,High
15,0,1,7,3376,20,75,0,Medium
7,1,0,0,3711,32,63,1,High
18,1,0,8,4506,59,91,0,High
12,0,1,4,2553,34,277,0,High
20,0,1,3,93,13,121,1,Medium
21,1,0,4,4464,4,78,1,High
13,0,0,5,3152,37,104,0,Medium
10,1,0,3,1422,3,244,0,High
10,0,1,5,1153,40,120,1,High
23,1,1,1,2220,49,223,1,High
0,0,1,2,994,18,298,0,Medium
14,0,1,5,2195,43,13,0,High
13,1,1,3,3118,5,263,0,High
6,1,0,8,2582,20,30,1,High
12,0,1,5,3266,16,86,1,High
19,0,0,8,4098,16,181,1,Medium
23,0,1,5,2504,60,261,1,High
17,1,1,7,3456,54,223,0,High
1,0,1,0,4445,44,159,0,High
2,1,1,8,4854,47,117,0,High
5,0,1,1,721,30,110,0,Low
22,0,1,8,1882,4,77,1,High
14,0,1,3,913,16,38,1,Medium
17,0,0,7,295,51,26,1,Medium
16,0,1,2,4736,34,229,0,High
3,0,0,6,22,16,75,0,Low
22,0,0,6,4698,54,216,0,High
19,0,1,8,4158,3,119,1,High
0,1,0,7,3511,44,208,0,High
17,1,0,4,228,24,147,0,Medium
6,1,1,4,4328,38,253,0,High
5,0,0,4,1916,45,233,1,High
19,1,1,5,636,35,77,0,High
18,0,0,6,2786,44,237,1,High
12,0,0,2,1389,52,171,0,Medium
19,1,0,0,253,54,230,0,Medium
18,1,1,5,1869,9,158,1,High
23,0,0,5,3315,60,100,1,High
23,1,0,8,4576,54,113,1,High
19,1,1,0,2644,11,255,0,High
8,0,0,0,2859,59,272,1,Medium
12,1,0,0,2053,41,210,0,High
14,1,0,5,2357,53,263,1,High
23,0,1,3,2667,1,243,0,High
15,0,0,7,4379,11,138,1,Medium
22,0,1,3,3852,33,84,1,High
5,1,0,3,3392,19,138,1,High
18,1,0,8,1878,54,233,1,High
2,1,1,0,687,38,58,0,Medium
18,0,0,1,4550,45,110,1,Medium
2,0,0,7,3303,10,59,0,Medium
10,0,1,1,593,18,61,0,Low
17,1,0,7,1333,1,99,0,Medium
17,1,1,5,558,37,63,1,High
6,0,1,5,692,35,73,1,Medium
17,1,0,0,190,33,226,1,Medium
13,0,0,1,203,53,19,0,Low
13,1,0,1,1899,18,116,0,Medium
5,0,0,5,259,25,129,1,Low
15,0,0,1,1094,39,122,0,Medium
0,1,0,1,4671,21,256,0,Medium
16,0,1,8,4793,18,272,0,High
10,1,1,6,1333,40,161,0,High
7,0,1,2,3921,21,116,1,Medium
23,1,0,0,2807,45,159,0,Medium
20,0,1,5,3877,17,10,1,High
21,1,0,0,4219,7,279,0,Medium
23,1,0,5,2436,7,16,1,High
23,0,0,3,4391,56,268,0,High
8,1,0,5,4016,52,58,0,High
3,1,1,0,1592,39,61,0,High
21,1,1,2,2235,13,283,0,High
2,0,0,0,4823,52,122,1,Medium
8,0,0,8,4059,38,263,0,High
2,1,0,0,3676,50,205,0,High
15,0,0,5,739,54,29,1,Medium
21,0,1,7,779,57,201,1,High
4,1,1,0,425,57,294,0,High
15,1,1,0,1591,28,192,1,High
10,0,0,8,4408,43,266,1,High
5,0,1,2,707,35,225,0,Medium
22,0,1,8,3773,10,99,1,High
12,1,1,1,2329,32,204,1,High
